PREFIX_EI_DM ,REF GM    ,TAB_CFG     ,TAB_TESTES ,TIPO_AMOSTRA	    ,PN VISTEON   ,Spare    ,DES_MODELO        ,PREFIX_EI ,DISPLAY   ,APLIQUE   ,SERVIÇO  ,SPARE_5  ,SPARE_6
SJY40        ,26313233  ,SJY40.CFG   ,SJY40.TXT  ,TESTE    	    ,VPKSJF-ML    ,-----    ,JBUA_Mono         ,SJY40     ,MONO      ,LB        ,NAO      ,         , 
SJY41        ,26313234  ,SJY41.CFG   ,SJY41.TXT  ,TESTE    	    ,VPKSJF-SL    ,-----    ,JBUC Mono chaplet ,SJY41     ,MONO      ,LB        ,NAO      ,         , 
SJY42        ,26313236  ,SJY42.CFG   ,SJY42.TXT  ,TESTE    	    ,VPKSJF-KL    ,-----    ,JBUA_Mono         ,SJY42     ,MONO      ,LB        ,NAO      ,         , 
SJY43        ,26313238  ,SJY43.CFG   ,SJY43.TXT  ,TESTE    	    ,VPKSJF-NL    ,-----    ,JBUC Mono sta/stp ,SJY43     ,MONO      ,LB        ,NAO      ,         ,
SJY44        ,26313239  ,SJY44.CFG   ,SJY44.TXT  ,TESTE    	    ,VPKSJF-RL    ,-----    ,JBUA_color        ,SJY44     ,COLOR     ,LC        ,NAO      ,         ,
SJY45        ,26313240  ,SJY45.CFG   ,SJY45.TXT  ,TESTE    	    ,VPKSJF-PL    ,-----    ,JBUA_color        ,SJY45     ,COLOR     ,LC        ,NAO      ,         ,
SJY46        ,26313237  ,SJY46.CFG   ,SJY46.TXT  ,TESTE    	    ,VPKSJF-AAE   ,-----    ,JBUA_Mono         ,SJY46     ,MONO      ,LB        ,NAO      ,         , 
SJY47        ,26313235  ,SJY47.CFG   ,SJY47.TXT  ,TESTE    	    ,VPKSJF-ABE   ,-----    ,JBUC Mono         ,SJY47     ,MONO      ,LB        ,NAO      ,         ,
SJY48        ,26313241  ,SJY48.CFG   ,SJY48.TXT  ,TESTE    	    ,VPKSJF-ACE   ,-----    ,JBUA_color        ,SJY48     ,COLOR     ,LC        ,NAO      ,         ,
SJY49        ,26312354  ,SJY49.CFG   ,SJY49.TXT  ,TESTE    	    ,VPKSJF-AJP   ,-----    ,JBUA_Seg          ,SJY49     ,SEG       ,ADA       ,NAO      ,         ,
SJY50        ,26312350  ,SJY50.CFG   ,SJY50.TXT  ,TESTE    	    ,VPKSJF-EP    ,-----    ,JBUA_Mono         ,SJY50     ,MONO      ,EP        ,NAO      ,         ,
SJY51        ,26312344  ,SJY51.CFG   ,SJY51.TXT  ,TESTE	            ,VPKSJF-AGP   ,-----    ,JUBA_ Mono        ,SJY51     ,MONO      ,MD        ,NAO      ,         ,
SJY52        ,26312351  ,SJY52.CFG   ,SJY52.TXT  ,TESTE    	    ,VPKSJF-GP    ,-----    ,JBUA_Seg          ,SJY52     ,SEG       ,GP        ,NAO      ,         ,
SJY53        ,26312345  ,SJY53.CFG   ,SJY53.TXT  ,TESTE	            ,VPKSJF-AKP   ,-----    ,JUBA Mono         ,SJY53     ,MONO      ,AKP       ,NAO      ,         ,
SJY54        ,26313233  ,SJY54.CFG   ,SJY54.TXT  ,TESTE	            ,VPKSJF-MM    ,-----    ,JBUC Mono         ,SJY54     ,MONO      ,EE        ,NAO      ,         ,
SJY55        ,26313234  ,SJY55.CFG   ,SJY55.TXT  ,TESTE	            ,VPKSJF-SM    ,-----    ,JBUC Mono         ,SJY55     ,MONO      ,FE        ,NAO      ,         ,
SJY56        ,26313236  ,SJY56.CFG   ,SJY56.TXT  ,TESTE	            ,VPKSJF-KM    ,-----    ,JBUC Mono         ,SJY56     ,MONO      ,EE        ,NAO      ,         ,
SJY57        ,26313238  ,SJY57.CFG   ,SJY57.TXT  ,TESTE	            ,VPKSJF-NM    ,-----    ,JBUC Mono         ,SJY57     ,MONO      ,EE        ,NAO      ,         ,
SJY58        ,26313239  ,SJY58.CFG   ,SJY58.TXT  ,TESTE	            ,VPKSJF-RM    ,-----    ,JBUC color        ,SJY58     ,COLOR     ,EE        ,NAO      ,         ,
SJY59        ,26313240  ,SJY59.CFG   ,SJY59.TXT  ,TESTE	            ,VPKSJF-PM    ,-----    ,JBUC color        ,SJY59     ,COLOR     ,EE        ,NAO      ,         ,
SJY87        ,26337432  ,SJY87.CFG   ,SJY87.TXT  ,TESTE    	    ,VPKSJF-AJS   ,-----    ,JBUA_Seg          ,SJY87     ,SEG       ,ADA       ,NAO      ,         ,
SJY88        ,26337427  ,SJY88.CFG   ,SJY88.TXT  ,TESTE    	    ,VPKSJF-ES    ,-----    ,JBUA_Mono         ,SJY88     ,MONO      ,LC        ,NAO      ,         ,
SJY89        ,26337425  ,SJY89.CFG   ,SJY89.TXT  ,TESTE	            ,VPKSJF-AGS   ,-----    ,JUBA_ Mono        ,SJY89     ,MONO      ,MD        ,NAO      ,         ,
SJY90        ,26337431  ,SJY90.CFG   ,SJY90.TXT  ,TESTE    	    ,VPKSJF-GS    ,-----    ,JBUA_Seg          ,SJY90     ,SEG       ,DG        ,NAO      ,         ,
SJY91        ,26337426  ,SJY91.CFG   ,SJY91.TXT  ,TESTE	            ,VPKSJF-AKS   ,-----    ,JUBA Mono         ,SJY91     ,MONO      ,ALA       ,NAO      ,         ,
SJY97        ,26334603  ,SJY97.CFG   ,SJY97.TXT  ,TESTE	            ,VPKSJF-MN    ,-----    ,JBUC Mono         ,SJY97     ,MONO      ,EE        ,NAO      ,         ,
