PREFIX_EI_DM ,REF GM    ,TAB_CFG     ,TAB_TESTES ,TIPO_AMOSTRA	    ,PN VISTEON   ,Spare    ,DES_MODELO        ,PREFIX_EI ,DISPLAY   ,APLIQUE   ,SERVIÇO  ,SPARE_5  ,SPARE_6
SJK46        ,26375385  ,SJK12.CFG   ,SJK12.TXT  ,TESTE	            ,VPKSJF-BTE   ,-----    ,JBUC Mono         ,SJK46     ,MONO      ,FE        ,SIM      ,         ,
SJK47        ,26375386  ,SJK13.CFG   ,SJK13.TXT  ,TESTE	            ,VPKSJF-BNE   ,-----    ,JBUC Mono         ,SJK47     ,MONO      ,HE        ,SIM      ,         ,
SJK48        ,26375387  ,SJK14.CFG   ,SJK14.TXT  ,TESTE	            ,VPKSJF-BRE   ,-----    ,JBUC Mono         ,SJK48     ,MONO      ,FE        ,SIM      ,         ,
SJK49        ,26375388  ,SJK15.CFG   ,SJK15.TXT  ,TESTE	            ,VPKSJF-BXE   ,-----    ,JBUC color        ,SJK49     ,COLOR     ,PF        ,SIM      ,         ,
SJK57        ,26378931  ,SJK51.CFG   ,SJK51.TXT  ,TESTE	            ,VPKSJF-BSF    ,-----   ,JBUC Mono         ,SJK57     ,MONO      ,EE        ,SIM      ,         ,
SJK58        ,26378932  ,SJK52.CFG   ,SJK52.TXT  ,TESTE	            ,VPKSJF-BTF    ,-----   ,JBUC Mono         ,SJK58     ,MONO      ,FE        ,SIM      ,         ,
SJK50        ,26375389  ,SJK16.CFG   ,SJK16.TXT  ,TESTE	            ,VPKSJF-BVE   ,-----    ,JBUC color        ,SJK50     ,COLOR     ,NE        ,SIM      ,         ,
SJK59        ,26378933  ,SJK59.CFG   ,SJK53.TXT  ,TESTE	            ,VPKSJF-BNF   ,-----    ,JBUC Mono         ,SJK59     ,MONO      ,HE        ,SIM      ,         ,
SJK60        ,26378934  ,SJK60.CFG   ,SJK14.TXT  ,TESTE	            ,VPKSJF-BRF   ,-----    ,JBUC Mono         ,SJK60     ,MONO      ,FE        ,SIM      ,         ,
SJK61        ,26378935  ,SJK55.CFG   ,SJK55.TXT  ,TESTE	            ,VPKSJF-BXF   ,-----    ,JBUC color        ,SJK61     ,COLOR     ,PF        ,SIM      ,         ,
SJK62        ,26378936  ,SJK62.CFG   ,SJK16.TXT  ,TESTE	            ,VPKSJF-BVF   ,-----    ,JBUC color        ,SJK62     ,COLOR     ,NE        ,SIM      ,         ,
SJK66        ,26375385  ,SJK66.CFG   ,SJK66.TXT  ,TESTE	            ,VPKSJF-BTE   ,-----    ,JBUC Mono         ,SJK66     ,MONO      ,FE        ,SIM      ,         ,
SJK69        ,26462388  ,SJK65.CFG   ,SJK65.TXT  ,TESTE	            ,VPKSJF-BTG   ,-----    ,JBUC Mono         ,SJK69     ,MONO      ,FE        ,SIM      ,         ,
SJK70        ,26462389  ,SJK13.CFG   ,SJK13.TXT  ,TESTE	            ,VPKSJF-BNG   ,-----    ,JBUC Mono         ,SJK70     ,MONO      ,HE        ,SIM      ,         ,
SJK73        ,26462383  ,SJK52.CFG   ,SJK52.TXT  ,TESTE	            ,VPKSJF-BTH   ,-----    ,JBUC Mono         ,SJK73     ,MONO      ,FE        ,SIM      ,         ,
SJK74        ,26462385  ,SJK53.CFG   ,SJK53.TXT  ,TESTE	            ,VPKSJF-BNH   ,-----    ,JBUC Mono         ,SJK74     ,MONO      ,HE        ,BNH      ,         ,
---------------------------------------------------------------------JCCC---------------------------------------------------------------------------------------------
SJK64        ,26394305  ,SJK63.CFG   ,SJK63.TXT  ,TESTE	            ,VPPSJF-KR    ,-----    ,JBUC Mono         ,SJK64     ,MONO      ,HE        ,NAO      ,         ,
------------------------------------------------------------SERVICES SKY----------------------------------------------------------------------------------------------
SKY08        ,26334617  ,SJY98.CFG   ,SJY98.TXT  ,TESTE	            ,VPKSJF-BNC   ,-----    ,JBUC Mono         ,SKY08     ,MONO      ,FE        ,SIM      ,         ,
SKY12        ,26334621  ,SKY12.CFG   ,SKY03.TXT  ,TESTE	            ,VPKSJF-PN    ,-----    ,JBUC color        ,SKY12     ,COLOR     ,EE        ,SIM      ,         ,
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
SJZ63        ,26394304  ,SJK63.CFG   ,SJK63.TXT  ,TESTE	            ,VPPSJF-KR    ,-----    ,JBUC Mono         ,SJZ63     ,MONO      ,HE        ,NAO      ,         ,
SJZ13        ,26330822  ,SJK13.CFG   ,SJK13.TXT  ,TESTE	            ,VPKSJF-KP    ,-----    ,JBUC Mono         ,SJZ13     ,MONO      ,HE        ,NAO      ,         ,
SJZ50        ,26312350  ,SJY50.CFG   ,SJY50.TXT  ,TESTE    	    ,VPKSJF-EP    ,-----    ,JBUA_Mono         ,SJZ50     ,MONO      ,EP        ,NAO      ,         ,
SJZ14        ,26330824  ,SJK14.CFG   ,SJK14.TXT  ,TESTE	            ,VPKSJF-NP    ,-----    ,JBUC Mono         ,SJZ14     ,MONO      ,EE        ,NAO      ,         ,
SJZ16        ,26330826  ,SJK16.CFG   ,SJK16.TXT  ,TESTE	            ,VPKSJF-PP    ,-----    ,JBUC color        ,SJZ16     ,COLOR     ,NE        ,NAO      ,         ,
SJZ56        ,26378930  ,SJK56.CFG   ,SJK56.TXT  ,TESTE	            ,VPKSJF-PR    ,-----    ,JBUC color        ,SJZ56     ,COLOR     ,NE        ,NAO      ,         ,
SJZ87        ,26337432  ,SJY87.CFG   ,SJY87.TXT  ,TESTE    	    ,VPKSJF-AJS   ,-----    ,JBUA_Seg          ,SJZ87     ,SEG       ,ADA       ,NAO      ,         ,
SJZ65        ,26375379  ,SJK65.CFG   ,SJK65.TXT  ,TESTE	            ,VPKSJF-SQ    ,-----    ,JBUC Mono         ,SJZ65     ,MONO      ,FE        ,NAO      ,         ,
SJZ30        ,26378860  ,SJK30.CFG   ,SJK30.TXT  ,TESTE    	    ,VPKSJF-EU    ,-----    ,JBUA_Mono         ,SJZ30     ,MONO      ,LC        ,NAO      ,         ,
SJZ44        ,26375383  ,SJK16.CFG   ,SJK16.TXT  ,TESTE	            ,VPKSJF-PQ    ,-----    ,JBUC color        ,SJZ44     ,COLOR     ,NE        ,NAO      ,         ,
SJZ32        ,26378861  ,SJK32.CFG   ,SJK32.TXT  ,TESTE    	    ,VPKSJF-GU    ,-----    ,JBUA_Seg          ,SJZ32     ,SEG       ,DG        ,NAO      ,         ,
FIM

TIPO_AMOSTRA -> TESTE, MSAMPLE ou NEGATIVA

DISPLAY -> SEG, MONO, COLOR
APLIQUE -> DF, LB ,LC

